Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-08-09,YESBANK,EQ,382.75,383.5,384.7,377.65,380.9,381.05,380.58,5854134,222798891775000.0,63711,1656510,0.28300000000000003
2018-08-10,YESBANK,EQ,381.05,382.0,391.0,381.0,382.0,382.85,387.62,13916077,539410477970000.0,123555,2664820,0.1915
2018-08-13,YESBANK,EQ,382.85,379.0,383.0,368.3,369.0,370.7,375.67,9205915,345837448925000.0,115130,3685591,0.4004
2018-08-14,YESBANK,EQ,370.7,369.0,384.3,368.15,383.5,382.5,377.97,12351125,466839877664999.94,89048,3851466,0.3118
2018-08-16,YESBANK,EQ,382.5,381.2,384.85,374.2,378.95,378.45,380.23,11567658,439835627630000.0,131634,3712427,0.3209
2018-08-17,YESBANK,EQ,378.45,382.4,395.65,380.3,394.75,393.2,389.55,16094026,626943174040000.0,160736,5712507,0.35490000000000005
2018-08-20,YESBANK,EQ,393.2,396.8,404.0,392.55,394.0,394.0,398.73,15247130,607952089400000.0,167906,3498504,0.2295
2018-08-21,YESBANK,EQ,394.0,396.0,397.45,389.5,392.0,391.35,392.67,9991245,392321989670000.0,168597,4117742,0.4121
2018-08-23,YESBANK,EQ,391.35,395.25,395.5,383.35,390.7,388.6,388.74,9262319,360066067020000.0,121268,3241167,0.34990000000000004
2018-08-24,YESBANK,EQ,388.6,387.0,388.7,372.85,374.05,374.2,378.84,16301075,617555448250000.0,151303,6584057,0.40390000000000004
2018-08-27,YESBANK,EQ,374.2,378.0,384.65,377.0,383.35,383.0,382.35,9563369,365656479165000.0,111846,3160232,0.33049999999999996
2018-08-28,YESBANK,EQ,383.0,386.0,386.0,362.8,370.6,370.6,371.57,26309238,977574880429999.9,239042,9590138,0.36450000000000005
2018-08-29,YESBANK,EQ,370.6,373.65,378.55,362.0,366.0,365.15,370.75,30544751,1132437067310000.0,253230,10194220,0.3337
2018-08-30,YESBANK,EQ,365.15,369.0,369.0,358.0,360.9,361.75,361.21,28157288,1017059501045000.1,234365,12187646,0.4328
2018-08-31,YESBANK,EQ,361.75,343.0,350.0,336.25,343.0,343.5,343.58,84019022,2886709357345000.0,756758,33828711,0.4026
2018-09-03,YESBANK,EQ,343.5,347.95,348.0,337.2,338.3,339.05,343.21,26137760,897086064865000.0,231131,11106969,0.42490000000000006
2018-09-04,YESBANK,EQ,339.05,340.75,343.4,332.55,333.5,334.05,337.27,22057643,743945300370000.0,205971,6552853,0.29710000000000003
2018-09-05,YESBANK,EQ,334.05,332.9,344.9,332.25,344.05,343.8,339.18,24809578,841483723445000.0,200611,8214844,0.3311
2018-09-06,YESBANK,EQ,343.8,346.55,347.8,337.9,339.1,339.2,342.4,17527530,600133948075000.0,141838,5111245,0.2916
2018-09-07,YESBANK,EQ,339.2,341.0,341.05,321.8,323.65,323.4,327.42,48830425,1598793825595000.0,419207,16953864,0.3472
2018-09-10,YESBANK,EQ,323.4,323.65,328.9,316.0,322.95,323.65,323.55,43295622,1400817710480000.0,356509,12029596,0.2778
2018-09-11,YESBANK,EQ,323.65,326.0,327.85,314.6,316.0,316.6,321.37,28553718,917633380500000.0,221735,8985690,0.3147
2018-09-12,YESBANK,EQ,316.6,318.0,319.95,310.6,314.0,314.3,314.77,26121445,822226058830000.0,200641,6699052,0.2565
2018-09-14,YESBANK,EQ,314.3,318.5,328.5,316.7,322.4,323.1,324.08,36624891,1186921548855000.0,256299,13502445,0.36869999999999997
2018-09-17,YESBANK,EQ,323.1,317.5,321.85,315.95,317.5,318.6,319.03,18554055,591922130295000.0,138363,3127415,0.1686
2018-09-18,YESBANK,EQ,318.6,319.35,328.95,319.1,324.6,323.55,325.02,30243505,982970522385000.0,224102,9940069,0.3287
2018-09-19,YESBANK,EQ,323.55,326.0,328.75,318.05,318.6,319.2,322.56,16185496,522081287839999.94,138437,3794363,0.23440000000000003
2018-09-21,YESBANK,EQ,319.2,287.3,287.3,218.1,225.15,226.5,245.7,293552756,7212723402714999.0,1788274,115740552,0.3943
2018-09-24,YESBANK,EQ,226.5,236.5,237.5,215.85,225.75,226.4,227.37,105701372,2403379438425000.0,685460,37314423,0.353
2018-09-25,YESBANK,EQ,226.4,230.0,238.85,197.25,220.5,219.7,223.09,110217421,2458877262505000.0,832786,27576218,0.2502
2018-09-26,YESBANK,EQ,219.7,223.0,229.8,217.0,223.7,223.75,224.65,62814786,1411135086035000.0,451242,19163545,0.30510000000000004
2018-09-27,YESBANK,EQ,223.75,226.0,227.0,202.05,203.6,203.25,210.0,91197198,1915097672590000.2,647010,33844085,0.3711
2018-09-28,YESBANK,EQ,203.25,203.6,204.0,165.0,184.1,183.65,184.54,148654874,2743292974890000.0,957046,42234733,0.2841
2018-10-01,YESBANK,EQ,183.65,180.0,203.8,170.6,199.85,200.85,190.13,130992623,2490627397380000.0,742369,39202955,0.2993
2018-10-03,YESBANK,EQ,200.85,205.0,222.95,202.25,212.15,212.75,214.85,97945695,2104394160220000.0,595714,27041055,0.2761
2018-10-04,YESBANK,EQ,212.75,209.4,220.0,205.05,214.3,215.0,214.3,65604016,1405905270390000.0,425632,14525270,0.2214
2018-10-05,YESBANK,EQ,215.0,215.0,218.5,203.1,203.95,206.0,211.7,40546788,858356510580000.0,334113,9679844,0.23870000000000002
2018-10-08,YESBANK,EQ,206.0,210.0,226.6,207.4,221.75,221.2,217.7,62349640,1357327916925000.0,445735,14391304,0.23079999999999998
2018-10-09,YESBANK,EQ,221.2,225.5,233.8,222.6,225.45,224.65,228.61,49480210,1131147937140000.0,362570,12184787,0.2463
2018-10-10,YESBANK,EQ,224.65,229.0,237.0,219.4,234.85,233.9,230.05,52351177,1204321187290000.0,376406,14023559,0.26789999999999997
2018-10-11,YESBANK,EQ,233.9,222.0,268.95,216.65,241.0,240.2,243.53,94679663,2305702994925000.0,665099,22853563,0.2414
2018-10-12,YESBANK,EQ,240.2,247.0,254.4,244.5,245.65,246.45,248.69,43535321,1082675689550000.0,308158,12549767,0.2883
2018-10-15,YESBANK,EQ,246.45,248.95,250.6,241.55,246.35,246.0,246.14,24694397,607833664030000.0,190917,6661505,0.2698
2018-10-16,YESBANK,EQ,246.0,247.0,251.4,245.6,249.25,248.9,248.66,18099074,450044541364999.94,142759,5699810,0.3149
2018-10-17,YESBANK,EQ,248.9,252.5,254.85,228.5,233.0,231.9,237.2,37767849,895857257675000.0,325820,9722941,0.25739999999999996
2018-10-19,YESBANK,EQ,231.9,225.0,230.55,213.0,219.35,217.9,219.32,50336402,1103992062120000.1,371039,14983307,0.2977
2018-10-22,YESBANK,EQ,217.9,221.0,222.35,208.5,213.1,211.5,212.81,33633639,715746996545000.0,276577,7510000,0.2233
2018-10-23,YESBANK,EQ,211.5,209.0,216.7,206.5,215.1,213.2,212.47,28293781,601159410475000.0,207533,8388514,0.2965
2018-10-24,YESBANK,EQ,213.2,217.5,220.0,202.0,204.35,204.0,208.49,38009322,792441436145000.0,289516,9754171,0.2566
2018-10-25,YESBANK,EQ,204.0,202.6,207.5,195.0,198.95,198.35,201.39,59170164,1191601639680000.0,434892,14777227,0.2497
2018-10-26,YESBANK,EQ,198.35,178.55,191.65,168.6,181.2,180.7,185.13,95760078,1772800475809999.8,573048,34470584,0.36
2018-10-29,YESBANK,EQ,180.7,185.0,185.9,174.75,180.8,181.3,179.44,52331613,939020047329999.9,390848,16321018,0.3119
2018-10-30,YESBANK,EQ,181.3,182.0,189.9,180.65,182.6,182.05,184.67,43428186,802008328570000.0,298464,14104066,0.3248
2018-10-31,YESBANK,EQ,182.05,185.0,189.5,179.65,188.35,188.1,184.51,53264490,982807168670000.1,333341,20742681,0.38939999999999997
2018-11-01,YESBANK,EQ,188.1,192.0,205.75,189.05,205.6,204.05,199.88,69202992,1383237527725000.0,463212,15071598,0.21780000000000002
2018-11-02,YESBANK,EQ,204.05,212.75,215.9,207.65,209.0,209.1,212.29,51686587,1097233101800000.0,387175,10692440,0.20690000000000003
